model,k,stratum,value,decision_groups,configurations,hit,feasible,regret,brier
mlp_43,1,family,sliding_stage_pin,6,6,1.0,1.0,0.0,0.022664446170286585
mlp_43,1,length,19,6,6,1.0,1.0,0.0,0.022664446170286585
mlp_43,1,length,22,2,2,1.0,1.0,0.0,0.07446502314996906
mlp_43,1,length,58,2,2,1.0,1.0,0.0,0.18903755396604538
mlp_43,1,length,76,6,6,1.0,1.0,0.0,0.06425401715872188
mlp_43,1,pool_type,mixed,16,12,1.0,1.0,0.0,0.04603314616866152
mlp_43,1,informative,True,16,12,1.0,1.0,0.0,0.04603314616866152
mlp_43,2,all,all,16,12,1.0,1.0,0.0,0.04603314616866152
mlp_43,2,family,rigid_connector_module,10,6,1.0,1.0,0.0,0.06940184616703644
mlp_43,2,family,sliding_stage_pin,6,6,1.0,1.0,0.0,0.022664446170286585
mlp_43,2,length,19,6,6,1.0,1.0,0.0,0.022664446170286585
mlp_43,2,length,22,2,2,1.0,1.0,0.0,0.07446502314996906
mlp_43,2,length,58,2,2,1.0,1.0,0.0,0.18903755396604538
mlp_43,2,length,76,6,6,1.0,1.0,0.0,0.06425401715872188
mlp_43,2,pool_type,mixed,16,12,1.0,1.0,0.0,0.04603314616866152
mlp_43,2,informative,True,16,12,1.0,1.0,0.0,0.04603314616866152
mlp_43,4,all,all,16,12,1.0,1.0,0.0,0.04603314616866152
mlp_43,4,family,rigid_connector_module,10,6,1.0,1.0,0.0,0.06940184616703644
mlp_43,4,family,sliding_stage_pin,6,6,1.0,1.0,0.0,0.022664446170286585
mlp_43,4,length,19,6,6,1.0,1.0,0.0,0.022664446170286585
mlp_43,4,length,22,2,2,1.0,1.0,0.0,0.07446502314996906
mlp_43,4,length,58,2,2,1.0,1.0,0.0,0.18903755396604538
mlp_43,4,length,76,6,6,1.0,1.0,0.0,0.06425401715872188
mlp_43,4,pool_type,mixed,16,12,1.0,1.0,0.0,0.04603314616866152
mlp_43,4,informative,True,16,12,1.0,1.0,0.0,0.04603314616866152
mlp_43,8,all,all,16,12,1.0,1.0,0.0,0.04603314616866152
mlp_43,8,family,rigid_connector_module,10,6,1.0,1.0,0.0,0.06940184616703644
mlp_43,8,family,sliding_stage_pin,6,6,1.0,1.0,0.0,0.022664446170286585
mlp_43,8,length,19,6,6,1.0,1.0,0.0,0.022664446170286585
mlp_43,8,length,22,2,2,1.0,1.0,0.0,0.07446502314996906
mlp_43,8,length,58,2,2,1.0,1.0,0.0,0.18903755396604538
mlp_43,8,length,76,6,6,1.0,1.0,0.0,0.06425401715872188
