artifact,runset,family,seed,checkpoint,method,checkpoint_sha256,implementation_sha256,input_sha256,protocol,n,k,budget,repeats,accept_rate,allow_expand,independent_execution_success,deployment_rollouts,deployment_physics_steps,decision_seconds,deployment_successful_sim_seconds,scene_setup_seconds,model_cold_seconds,visual_cold_seconds,scene_setup_plus_decision_seconds,accounted_scene_decision_deployment_seconds,candidate_generation_seconds,necessary_geometry_seconds,optional_geometry_seconds,render_seconds,visual_encoding_seconds,network_seconds,numeric_features_seconds,restore_seconds,twin_seconds,deferred_solving_seconds_subset,deployment_seconds,later_parameter_solving_seconds_subset,rollouts,unique_candidates,physics_steps,timeouts,deployment_timeouts,budget_exhausted,budget_fully_spent,accepted,reference_repeats,pool_type,pool_best_reference,near_optimal_hit_at_k,feasible_hit_at_k,regret_at_k,selected_reference,selected_regret,pool_near_best_reference_sim_seconds,selected_reference_sim_seconds,selected_secondary_time_regret_seconds
results/value_v2/online/rigid_connector_module_20041_0_mlp_first_verified/decision.json,online,rigid_connector_module,20041,0,mlp,2d1b73af8d31e70aad10de1dc7c6d493aca154509addb13409d433b8216f8459,f247709daba293143fc972a5b2cbb1349c1090024065905f5642476e7e02f0ea,d617801ad88f79026da92af98a736bb8b3a178a55e09bf0cfed86803fa0ff6ee,first_verified,16,4,8,2,0.5,False,1.0,2,161200,44.595904760062695,161.20000000004924,1.0742188439471647,0.012855720124207437,0.0,45.67012360400986,87.4338153739227,0.03458344982936978,1.6796725131571293,0.748820740962401,0.0,0.0,0.007007449981756508,0.006545312935486436,0.0010252470383420587,41.668117676978,2.1364079780178145,41.76369176991284,1.9444141901331022,2,1,161130,0,0,0,0,1,2,mixed,1.0,1.0,1.0,0.0,1.0,0.0,150.41999999999777,161.1700000000491,10.75000000005133
results/value_v2/online/rigid_connector_module_20041_0_no_vision_best_within_budget/decision.json,online,rigid_connector_module,20041,0,no_vision,8170b408cb7562fb96d83bfeb957d3a0e69f93f83d38d85b65f22eca15190b1e,f247709daba293143fc972a5b2cbb1349c1090024065905f5642476e7e02f0ea,d617801ad88f79026da92af98a736bb8b3a178a55e09bf0cfed86803fa0ff6ee,best_within_budget,16,4,8,2,0.5,False,1.0,2,155090,169.83578351594042,155.09000000002007,1.1572892400436103,0.23980382399167866,0.0,170.99307275598403,210.03000383498147,0.031229848973453045,1.640124440076761,0.0,0.0,0.0,0.3642674119910225,8.050119504332542e-07,0.0039580961456522346,167.29969961789902,10.504260622314177,39.03693107899744,9.375250127632171,8,4,650210,0,0,0,1,1,2,mixed,1.0,1.0,1.0,0.0,1.0,0.0,150.41999999999777,155.04000000001983,4.62000000002206
results/value_v2/online/rigid_connector_module_20041_0_no_vision_first_verified/decision.json,online,rigid_connector_module,20041,0,no_vision,8170b408cb7562fb96d83bfeb957d3a0e69f93f83d38d85b65f22eca15190b1e,f247709daba293143fc972a5b2cbb1349c1090024065905f5642476e7e02f0ea,d617801ad88f79026da92af98a736bb8b3a178a55e09bf0cfed86803fa0ff6ee,first_verified,16,4,8,2,0.5,False,1.0,2,161200,43.581600051024,161.20000000004924,1.0429783960571513,0.23980382399167866,0.0,44.62457844708115,86.16911746398546,0.02978099009487778,1.5767871799180284,0.0,0.0,0.0,0.3360203639604151,4.770699888467789e-07,0.0009147730888798833,41.210604600957595,2.105561434640549,41.54453901690431,1.9129516588291153,2,1,161130,0,0,0,0,1,2,mixed,1.0,1.0,1.0,0.0,1.0,0.0,150.41999999999777,161.1700000000491,10.75000000005133
results/value_v2/online/rigid_connector_module_20041_0_prior_best_within_budget/decision.json,online,rigid_connector_module,20041,0,prior,eca9874d7bd879d99918d1e3aba0ad38b2743e6966cd2f85141d175732f5d7cc,f247709daba293143fc972a5b2cbb1349c1090024065905f5642476e7e02f0ea,d617801ad88f79026da92af98a736bb8b3a178a55e09bf0cfed86803fa0ff6ee,best_within_budget,16,4,8,2,0.5,False,1.0,2,150430,162.25723274599295,150.42999999999782,1.0335971470922232,0.13878592813853174,0.0,163.29082989308517,202.05877417698503,0.15011864504776895,1.5713479039259255,0.7490805690176785,0.0,0.0,0.022953956038691103,0.0071268369210883975,0.0039241601480171084,159.26234202599153,9.275763306999579,38.76794428389985,8.330194548587315,8,4,633130,0,0,0,1,1,2,mixed,1.0,1.0,1.0,0.0,1.0,0.0,150.41999999999777,150.41999999999777,0.0
results/value_v2/online/rigid_connector_module_20041_0_prior_first_verified/decision.json,online,rigid_connector_module,20041,0,prior,eca9874d7bd879d99918d1e3aba0ad38b2743e6966cd2f85141d175732f5d7cc,f247709daba293143fc972a5b2cbb1349c1090024065905f5642476e7e02f0ea,d617801ad88f79026da92af98a736bb8b3a178a55e09bf0cfed86803fa0ff6ee,first_verified,16,4,8,2,0.5,False,1.0,2,161410,45.51642580202315,161.41000000005025,1.036947580985725,0.13878592813853174,0.0,46.553373383008875,88.4146991239395,0.03200763801578432,1.8476874839980155,0.8396625960012898,0.0,0.0,0.02323855401482433,0.008553627994842827,0.0010468129767104983,42.32609210698865,3.344882070319727,41.861325740930624,2.9192023961804807,2,1,161450,0,0,0,0,1,2,mixed,1.0,1.0,1.0,0.0,1.0,0.0,150.41999999999777,161.45000000005044,11.030000000052667
results/value_v2/online/rigid_connector_module_20041_0_random_best_within_budget/decision.json,online,rigid_connector_module,20041,0,random,,f247709daba293143fc972a5b2cbb1349c1090024065905f5642476e7e02f0ea,d617801ad88f79026da92af98a736bb8b3a178a55e09bf0cfed86803fa0ff6ee,best_within_budget,16,4,8,2,0.5,False,1.0,2,156550,168.1287601540098,156.55000000002704,1.0332591930637136,0.0,0.0,169.1620193470735,208.97866057103965,0.02962679392658174,1.5682042150292546,0.0,0.0,0.0,0.0,0.0,0.003924562013708055,165.9153772718273,10.468316049664281,39.816641223966144,9.173150346032344,8,4,654940,0,0,0,1,1,2,mixed,1.0,1.0,1.0,0.0,1.0,0.0,150.41999999999777,156.5200000000269,6.100000000029127
results/value_v2/online/rigid_connector_module_20041_0_random_first_verified/decision.json,online,rigid_connector_module,20041,0,random,,f247709daba293143fc972a5b2cbb1349c1090024065905f5642476e7e02f0ea,d617801ad88f79026da92af98a736bb8b3a178a55e09bf0cfed86803fa0ff6ee,first_verified,16,4,8,2,0.5,False,1.0,2,156550,41.18621064594481,156.55000000002704,1.04610322706867,0.0,0.0,42.23231387301348,80.78317677485757,0.030090589076280594,1.5697521909605712,0.0,0.0,0.0,0.0,0.0,0.001017982023768127,39.03441955510061,2.4378479949664325,38.550862901844084,2.2571178760845214,2,1,156700,0,0,0,0,1,2,mixed,1.0,1.0,1.0,0.0,1.0,0.0,150.41999999999777,156.5200000000269,6.100000000029127
results/value_v2/online/rigid_connector_module_20041_0_residual_best_within_budget/decision.json,online,rigid_connector_module,20041,0,residual,13a5cdb2570c123cf90d8f88048eda8e1624b05d9545a530f1144eb77ab03074,f247709daba293143fc972a5b2cbb1349c1090024065905f5642476e7e02f0ea,d617801ad88f79026da92af98a736bb8b3a178a55e09bf0cfed86803fa0ff6ee,best_within_budget,16,4,8,2,0.5,False,1.0,2,150430,167.70185345003847,150.42999999999782,1.0433163540437818,0.008879123954102397,0.0,168.74516980408225,207.00656544195954,0.03156300715636462,1.5815836808178574,0.756151375011541,0.0,0.0,0.023541153059341013,0.007110420032404363,0.003917186288163066,164.8210491888458,10.173039237619378,38.261395637877285,9.049416202818975,8,4,645400,0,0,0,1,1,2,mixed,1.0,1.0,1.0,0.0,1.0,0.0,150.41999999999777,150.41999999999777,0.0
results/value_v2/online/rigid_connector_module_20041_0_residual_first_verified/decision.json,online,rigid_connector_module,20041,0,residual,13a5cdb2570c123cf90d8f88048eda8e1624b05d9545a530f1144eb77ab03074,f247709daba293143fc972a5b2cbb1349c1090024065905f5642476e7e02f0ea,d617801ad88f79026da92af98a736bb8b3a178a55e09bf0cfed86803fa0ff6ee,first_verified,16,4,8,2,0.5,False,1.0,2,161200,46.894588367897086,161.20000000004924,1.062132152961567,0.008879123954102397,0.0,47.95672052085865,89.86491542891599,0.03136742301285267,1.8430259739980102,0.8258206030586734,0.0,0.0,0.004065209999680519,0.007590721012093127,0.000974946073256433,43.654503298108466,2.373713995097205,41.90819490805734,2.1461098801810294,2,1,161130,0,0,0,0,1,2,mixed,1.0,1.0,1.0,0.0,1.0,0.0,150.41999999999777,161.1700000000491,10.75000000005133
results/value_v2/online/rigid_connector_module_20041_0_v1_fixed_best_within_budget/decision.json,online,rigid_connector_module,20041,0,v1_fixed,75dedd09a16fd9cdf163955aa2908b9bd5b6586a12be3ca28fd5fb5d1a9ad489,f247709daba293143fc972a5b2cbb1349c1090024065905f5642476e7e02f0ea,d617801ad88f79026da92af98a736bb8b3a178a55e09bf0cfed86803fa0ff6ee,best_within_budget,16,4,8,2,0.5,False,1.0,2,158680,169.8182539299596,158.6800000000372,1.0312971039675176,0.07328651694115251,1.0715669320197776,170.84955103392713,210.4837339069927,0.030605609877966344,1.5596677240682766,0.0,0.191818710998632,0.02605431410484016,0.336056504980661,4.08967025578022e-07,0.004023969988338649,167.19610516505782,10.834083914523944,39.63418287306558,9.384168906603009,8,4,659590,0,0,0,1,1,2,mixed,1.0,1.0,1.0,0.0,1.0,0.0,150.41999999999777,159.08000000003912,8.66000000004135
