method,stratum,metric,mean,ci95_low,ci95_high,groups,configurations,eligible_groups,eligible_configurations,all_failure_groups
compact_17_raw,overall,hit1,0.8,0.4,1.0,6,6,5,5,1
compact_17_raw,overall,feasible1,0.8333333333333334,0.5,1.0,6,6,6,6,1
compact_17_raw,overall,quality1,0.75,0.4166666666666667,1.0,6,6,6,6,1
compact_17_raw,overall,regret1,0.08333333333333333,0.0,0.25,6,6,6,6,1
compact_17_raw,overall,random_hit1,0.325,0.2,0.45,6,6,5,5,1
compact_17_raw,overall,random_feasible1,0.3541666666666667,0.1875,0.5,6,6,6,6,1
compact_17_raw,overall,random_quality1,0.3125,0.16666666666666666,0.4479166666666667,6,6,6,6,1
compact_17_raw,overall,excess_hit1,0.475,0.175,0.7,6,6,5,5,1
compact_17_raw,overall,excess_feasible1,0.4791666666666667,0.2708333333333333,0.6458333333333334,6,6,6,6,1
compact_17_raw,overall,excess_quality1,0.4375,0.22916666666666666,0.6354166666666666,6,6,6,6,1
compact_17_raw,overall,boundary_near_tie1,0.0,0.0,0.0,6,6,6,6,1
compact_17_raw,overall,hit2,1.0,1.0,1.0,6,6,5,5,1
compact_17_raw,overall,feasible2,0.8333333333333334,0.5,1.0,6,6,6,6,1
compact_17_raw,overall,quality2,0.7083333333333334,0.375,0.9583333333333334,6,6,6,6,1
compact_17_raw,overall,regret2,0.0,0.0,0.0,6,6,6,6,1
compact_17_raw,overall,random_hit2,0.55,0.37857142857142856,0.7214285714285714,6,6,5,5,1
compact_17_raw,overall,random_feasible2,0.5714285714285714,0.31547619047619047,0.7738095238095237,6,6,6,6,1
compact_17_raw,overall,random_quality2,0.3125,0.16666666666666666,0.4479166666666667,6,6,6,6,1
compact_17_raw,overall,excess_hit2,0.45,0.2785714285714286,0.6214285714285713,6,6,5,5,1
compact_17_raw,overall,excess_feasible2,0.2619047619047619,0.1130952380952381,0.3988095238095238,6,6,6,6,1
compact_17_raw,overall,excess_quality2,0.3958333333333333,0.19791666666666666,0.5729166666666666,6,6,6,6,1
compact_17_raw,overall,boundary_near_tie2,0.0,0.0,0.0,6,6,6,6,1
compact_17_raw,overall,hit4,1.0,1.0,1.0,6,6,5,5,1
compact_17_raw,overall,feasible4,0.8333333333333334,0.5,1.0,6,6,6,6,1
compact_17_raw,overall,quality4,0.5625,0.2916666666666667,0.8125,6,6,6,6,1
compact_17_raw,overall,regret4,0.0,0.0,0.0,6,6,6,6,1
compact_17_raw,overall,random_hit4,0.8085714285714285,0.6542857142857142,0.9457142857142857,6,6,5,5,1
compact_17_raw,overall,random_feasible4,0.7714285714285715,0.45,0.9690476190476192,6,6,6,6,1
compact_17_raw,overall,random_quality4,0.3125,0.16666666666666666,0.4479166666666667,6,6,6,6,1
compact_17_raw,overall,excess_hit4,0.19142857142857142,0.05428571428571425,0.34571428571428575,6,6,5,5,1
compact_17_raw,overall,excess_feasible4,0.061904761904761886,0.011904761904761899,0.1238095238095238,6,6,6,6,1
compact_17_raw,overall,excess_quality4,0.25,0.125,0.3645833333333333,6,6,6,6,1
compact_17_raw,overall,boundary_near_tie4,0.0,0.0,0.0,6,6,6,6,1
compact_17_raw,overall,score_spread,0.5923546515699287,0.5262149104799717,0.6598680559481792,6,6,6,6,1
compact_17_raw,overall,numerically_flat,0.0,0.0,0.0,6,6,6,6,1
compact_17_raw,overall,adjacent_near_tie_fraction,0.0,0.0,0.0,6,6,6,6,1
compact_17_raw,overall,intermediate_label_fraction,0.08333333333333333,0.020833333333333332,0.16666666666666666,6,6,6,6,1
compact_17_raw,overall,empirical_pool_quality,0.3125,0.16666666666666666,0.4479166666666667,6,6,6,6,1
compact_17_raw,overall,brier,0.12141082893215349,0.09335439101813654,0.15621668148671655,6,6,6,6,1
compact_17_raw,overall,bernoulli_brier,0.14224416226548683,0.1193960576848032,0.16844360315343346,6,6,6,6,1
compact_17_raw,overall,log_loss,0.41312655615910576,0.3584369670509613,0.4718385401390792,6,6,6,6,1
compact_17_raw,checkpoint_2,hit1,0.6666666666666666,0.0,1.0,4,4,3,3,1
compact_17_raw,checkpoint_2,feasible1,0.75,0.25,1.0,4,4,4,4,1
compact_17_raw,checkpoint_2,quality1,0.625,0.25,1.0,4,4,4,4,1
compact_17_raw,checkpoint_2,regret1,0.125,0.0,0.375,4,4,4,4,1
compact_17_raw,checkpoint_2,random_hit1,0.20833333333333334,0.125,0.25,4,4,3,3,1
compact_17_raw,checkpoint_2,random_feasible1,0.25,0.09375,0.375,4,4,4,4,1
compact_17_raw,checkpoint_2,random_quality1,0.203125,0.0625,0.296875,4,4,4,4,1
compact_17_raw,checkpoint_2,excess_hit1,0.4583333333333333,-0.125,0.75,4,4,3,3,1
compact_17_raw,checkpoint_2,excess_feasible1,0.5,0.15625,0.71875,4,4,4,4,1
compact_17_raw,checkpoint_2,excess_quality1,0.421875,0.125,0.71875,4,4,4,4,1
compact_17_raw,checkpoint_2,boundary_near_tie1,0.0,0.0,0.0,4,4,4,4,1
compact_17_raw,checkpoint_2,hit2,1.0,1.0,1.0,4,4,3,3,1
compact_17_raw,checkpoint_2,feasible2,0.75,0.25,1.0,4,4,4,4,1
compact_17_raw,checkpoint_2,quality2,0.5625,0.1875,0.875,4,4,4,4,1
compact_17_raw,checkpoint_2,regret2,0.0,0.0,0.0,4,4,4,4,1
compact_17_raw,checkpoint_2,random_hit2,0.39285714285714285,0.25,0.46428571428571425,4,4,3,3,1
compact_17_raw,checkpoint_2,random_feasible2,0.4375,0.1607142857142857,0.6428571428571428,4,4,4,4,1
compact_17_raw,checkpoint_2,random_quality2,0.203125,0.0625,0.296875,4,4,4,4,1
compact_17_raw,checkpoint_2,excess_hit2,0.6071428571428571,0.5357142857142857,0.75,4,4,3,3,1
compact_17_raw,checkpoint_2,excess_feasible2,0.3125,0.0892857142857143,0.4910714285714286,4,4,4,4,1
compact_17_raw,checkpoint_2,excess_quality2,0.359375,0.09375,0.625,4,4,4,4,1
compact_17_raw,checkpoint_2,boundary_near_tie2,0.0,0.0,0.0,4,4,4,4,1
compact_17_raw,checkpoint_2,hit4,1.0,1.0,1.0,4,4,3,3,1
compact_17_raw,checkpoint_2,feasible4,0.75,0.25,1.0,4,4,4,4,1
compact_17_raw,checkpoint_2,quality4,0.375,0.125,0.5625,4,4,4,4,1
compact_17_raw,checkpoint_2,regret4,0.0,0.0,0.0,4,4,4,4,1
compact_17_raw,checkpoint_2,random_hit4,0.6904761904761904,0.5,0.7857142857142857,4,4,3,3,1
compact_17_raw,checkpoint_2,random_feasible4,0.6607142857142858,0.23214285714285715,0.9285714285714286,4,4,4,4,1
compact_17_raw,checkpoint_2,random_quality4,0.203125,0.0625,0.296875,4,4,4,4,1
compact_17_raw,checkpoint_2,excess_hit4,0.30952380952380953,0.2142857142857143,0.5,4,4,3,3,1
compact_17_raw,checkpoint_2,excess_feasible4,0.08928571428571427,0.01785714285714285,0.17857142857142858,4,4,4,4,1
compact_17_raw,checkpoint_2,excess_quality4,0.171875,0.0625,0.28125,4,4,4,4,1
compact_17_raw,checkpoint_2,boundary_near_tie4,0.0,0.0,0.0,4,4,4,4,1
compact_17_raw,checkpoint_2,score_spread,0.5602541756686339,0.49092876580722095,0.6448378245996477,4,4,4,4,1
compact_17_raw,checkpoint_2,numerically_flat,0.0,0.0,0.0,4,4,4,4,1
compact_17_raw,checkpoint_2,adjacent_near_tie_fraction,0.0,0.0,0.0,4,4,4,4,1
compact_17_raw,checkpoint_2,intermediate_label_fraction,0.09375,0.0,0.1875,4,4,4,4,1
compact_17_raw,checkpoint_2,empirical_pool_quality,0.203125,0.0625,0.296875,4,4,4,4,1
compact_17_raw,checkpoint_2,brier,0.1337900852937665,0.10745252739948917,0.1755824426633967,4,4,4,4,1
compact_17_raw,checkpoint_2,bernoulli_brier,0.1572275852937665,0.1338288636096735,0.1833949426633967,4,4,4,4,1
compact_17_raw,checkpoint_2,log_loss,0.4480050595403546,0.3885718023596676,0.5074383167210416,4,4,4,4,1
compact_17_raw,checkpoint_3,hit1,1.0,1.0,1.0,2,2,2,2,0
compact_17_raw,checkpoint_3,feasible1,1.0,1.0,1.0,2,2,2,2,0
compact_17_raw,checkpoint_3,quality1,1.0,1.0,1.0,2,2,2,2,0
compact_17_raw,checkpoint_3,regret1,0.0,0.0,0.0,2,2,2,2,0
compact_17_raw,checkpoint_3,random_hit1,0.5,0.5,0.5,2,2,2,2,0
compact_17_raw,checkpoint_3,random_feasible1,0.5625,0.5,0.625,2,2,2,2,0
compact_17_raw,checkpoint_3,random_quality1,0.53125,0.5,0.5625,2,2,2,2,0
compact_17_raw,checkpoint_3,excess_hit1,0.5,0.5,0.5,2,2,2,2,0
compact_17_raw,checkpoint_3,excess_feasible1,0.4375,0.375,0.5,2,2,2,2,0
compact_17_raw,checkpoint_3,excess_quality1,0.46875,0.4375,0.5,2,2,2,2,0
compact_17_raw,checkpoint_3,boundary_near_tie1,0.0,0.0,0.0,2,2,2,2,0
compact_17_raw,checkpoint_3,hit2,1.0,1.0,1.0,2,2,2,2,0
compact_17_raw,checkpoint_3,feasible2,1.0,1.0,1.0,2,2,2,2,0
compact_17_raw,checkpoint_3,quality2,1.0,1.0,1.0,2,2,2,2,0
compact_17_raw,checkpoint_3,regret2,0.0,0.0,0.0,2,2,2,2,0
compact_17_raw,checkpoint_3,random_hit2,0.7857142857142857,0.7857142857142857,0.7857142857142857,2,2,2,2,0
compact_17_raw,checkpoint_3,random_feasible2,0.8392857142857143,0.7857142857142857,0.8928571428571429,2,2,2,2,0
compact_17_raw,checkpoint_3,random_quality2,0.53125,0.5,0.5625,2,2,2,2,0
compact_17_raw,checkpoint_3,excess_hit2,0.2142857142857143,0.2142857142857143,0.2142857142857143,2,2,2,2,0
compact_17_raw,checkpoint_3,excess_feasible2,0.1607142857142857,0.1071428571428571,0.2142857142857143,2,2,2,2,0
compact_17_raw,checkpoint_3,excess_quality2,0.46875,0.4375,0.5,2,2,2,2,0
compact_17_raw,checkpoint_3,boundary_near_tie2,0.0,0.0,0.0,2,2,2,2,0
compact_17_raw,checkpoint_3,hit4,1.0,1.0,1.0,2,2,2,2,0
compact_17_raw,checkpoint_3,feasible4,1.0,1.0,1.0,2,2,2,2,0
compact_17_raw,checkpoint_3,quality4,0.9375,0.875,1.0,2,2,2,2,0
compact_17_raw,checkpoint_3,regret4,0.0,0.0,0.0,2,2,2,2,0
compact_17_raw,checkpoint_3,random_hit4,0.9857142857142858,0.9857142857142858,0.9857142857142858,2,2,2,2,0
compact_17_raw,checkpoint_3,random_feasible4,0.9928571428571429,0.9857142857142858,1.0,2,2,2,2,0
compact_17_raw,checkpoint_3,random_quality4,0.53125,0.5,0.5625,2,2,2,2,0
compact_17_raw,checkpoint_3,excess_hit4,0.014285714285714235,0.014285714285714235,0.014285714285714235,2,2,2,2,0
